date,listeners,streams,followers
2026-01-01,25,45,915
2026-01-02,28,64,916
2026-01-03,32,56,916
2026-01-04,55,100,918
2026-01-05,59,147,920
2026-01-06,46,112,920
2026-01-07,51,128,920
2026-01-08,47,113,921
2026-01-09,61,132,922
2026-01-10,40,100,922
2026-01-11,28,78,923
2026-01-12,50,88,924
2026-01-13,36,68,924
2026-01-14,41,74,924
2026-01-15,54,76,924
2026-01-16,60,137,924
2026-01-17,52,88,925
2026-01-18,41,45,926
2026-01-19,39,45,926
2026-01-20,33,65,927
2026-01-21,39,88,928
2026-01-22,36,71,927
2026-01-23,46,59,927
2026-01-24,42,56,927
2026-01-25,27,38,928
2026-01-26,30,50,928
2026-01-27,26,99,928
2026-01-28,34,70,928
2026-01-29,25,74,928
2026-01-30,40,105,929
2026-01-31,44,170,935
2026-02-01,34,58,935
2026-02-02,38,99,935
2026-02-03,30,76,934
